county,county_number,population
Adair,1,7682
Adams,2,4029
Allamakee,3,14330
Appanoose,4,12884
Audubon,5,6119
Benton,6,26076
Black Hawk,7,131090
Boone,8,26306
Bremer,9,24276
Buchanan,10,20958
Buena Vista,11,20260
Butler,12,14867
Calhoun,13,9670
Carroll,14,20816
Cass,15,13956
Cedar,16,18499
Cerro Gordo,17,44151
Cherokee,18,12072
Chickasaw,19,12439
Clarke,20,9286
Clay,21,16667
Clayton,22,18129
Clinton,23,49116
Crawford,24,17096
Dallas,25,66135
Davis,26,8753
Decatur,27,8457
Delaware,28,17764
Des Moines,29,40325
Dickinson,30,16667
Dubuque,31,93653
Emmet,32,10302
Fayette,33,20880
Floyd,34,16303
Franklin,35,10680
Fremont,36,7441
Greene,37,9336
Grundy,38,12453
Guthrie,39,10954
Hamilton,40,15673
Hancock,41,11341
Hardin,42,17534
Harrison,43,14928
Henry,44,20145
Howard,45,9566
Humboldt,46,9815
Ida,47,7089
Iowa,48,16355
Jackson,49,19848
Jasper,50,36842
Jefferson,51,16843
Johnson,52,130882
Jones,53,20638
Keokuk,54,10511
Kossuth,55,15543
Lee,56,35862
Linn,57,211226
Louisa,58,11387
Lucas,59,8898
Lyon,60,11581
Madison,61,15679
Mahaska,62,22381
Marion,63,33309
Marshall,64,40648
Mills,65,15059
Mitchell,66,10776
Monona,67,9243
Monroe,68,7970
Montgomery,69,10740
Muscatine,70,42745
O'Brien,71,14398
Osceola,72,6462
Page,73,15932
Palo Alto,74,9421
Plymouth,75,24986
Pocahontas,76,7310
Polk,77,430640
Pottawattamie,78,93158
Poweshiek,79,18914
Ringgold,80,5131
Sac,81,10350
Scott,82,165224
Shelby,83,12167
Sioux,84,33704
Story,85,89542
Tama,86,17767
Taylor,87,6317
Union,88,12534
Van Buren,89,7570
Wapello,90,35625
Warren,91,46225
Washington,92,21704
Wayne,93,6403
Webster,94,38013
Winnebago,95,10866
Winneshiek,96,21056
Woodbury,97,102172
Worth,98,7598
Wright,99,13229
